1,2022-10-19 21:08:36.101914,[13.87885158],[-1.11026326],[-2.86113808]
3,2022-10-19 21:08:36.326916,[13.54445778],[-7.98309435],[-1.51730697]
5,2022-10-19 21:08:36.506914,[10.74962246],[-8.67697145],[-0.64407044]
7,2022-10-19 21:08:36.621914,[12.39077528],[-8.75469715],[-1.12006261]
9,2022-10-19 21:08:36.739926,[13.6892563],[-7.71518208],[-1.54659883]
11,2022-10-19 21:08:36.857625,[15.61180281],[-6.75091196],[-2.25014283]
13,2022-10-19 21:08:36.970624,[12.11501785],[-7.75858407],[-1.94195618]
15,2022-10-19 21:08:37.087624,[12.56576413],[-8.65827934],[-1.18586353]
17,2022-10-19 21:08:37.208625,[13.18447472],[-7.67695195],[-1.73456674]
19,2022-10-19 21:08:37.321637,[13.22648232],[-8.72299943],[0.07122238]
20,2022-10-19 21:08:37.423796,[14.43640329],[-9.75867628],[-0.71888051]
22,2022-10-19 21:08:37.547985,[14.40238768],[-11.50449477],[-0.44157552]
24,2022-10-19 21:08:37.664002,[11.25813708],[-5.96765914],[-2.81023793]
26,2022-10-19 21:08:37.785001,[14.00595631],[-5.10534949],[-2.1968569]
28,2022-10-19 21:08:37.901017,[12.9796996],[-3.78474562],[-3.50069296]
30,2022-10-19 21:08:38.022928,[13.20200556],[-3.86956132],[-4.39546855]
31,2022-10-19 21:08:38.125930,[10.41426075],[-4.36616507],[-3.42643184]
32,2022-10-19 21:08:38.233942,[12.38256413],[-5.0718287],[-3.66863806]
33,2022-10-19 21:08:38.340942,[11.89349491],[-4.08681508],[-3.99649911]
35,2022-10-19 21:08:38.453953,[13.81861093],[-3.1035237],[-3.20249804]
37,2022-10-19 21:08:38.571963,[10.58681312],[-2.73451448],[-4.05346543]
39,2022-10-19 21:08:38.791063,[9.0502626],[-1.51238461],[-3.51418807]
42,2022-10-19 21:08:39.016446,[10.61480695],[-1.37484546],[-3.02377304]
43,2022-10-19 21:08:39.127856,[14.45990705],[-2.69174535],[-1.3783183]
45,2022-10-19 21:08:39.254856,[14.73884802],[-4.03409005],[-2.53681744]
47,2022-10-19 21:08:39.376856,[16.82612708],[-4.44779695],[-4.39099559]
49,2022-10-19 21:08:39.495855,[14.30696603],[-5.77024005],[-2.96432376]
51,2022-10-19 21:08:39.821866,[11.90990515],[-16.85944362],[-2.27389633]
53,2022-10-19 21:08:39.947865,[10.40506568],[-14.21484537],[-2.2919004]
55,2022-10-19 21:08:40.067905,[19.52706399],[-5.88097834],[-1.68744905]
57,2022-10-19 21:08:40.187948,[13.35600197],[-9.61329167],[-2.60937717]
59,2022-10-19 21:08:40.308946,[10.47140649],[-13.24173434],[-2.6672079]
61,2022-10-19 21:08:40.434037,[18.33173438],[-13.76906529],[-3.24553217]
63,2022-10-19 21:08:40.558035,[16.98708955],[-18.53091281],[-3.47350153]
65,2022-10-19 21:08:40.683033,[17.3564723],[-4.44878434],[-2.14003724]
67,2022-10-19 21:08:40.808033,[-7.37474642],[0.83498952],[178.18650496]
69,2022-10-19 21:08:40.936317,[19.20758134],[-9.58379241],[-2.0156306]
71,2022-10-19 21:08:41.060320,[18.53456066],[-12.24407508],[-1.91124827]
73,2022-10-19 21:08:41.186318,[9.11365764],[-6.34959413],[-5.63139907]
75,2022-10-19 21:08:41.307321,[12.92862688],[-7.2275785],[-4.55108377]
77,2022-10-19 21:08:41.440318,[14.14289043],[-6.1759177],[-5.20526725]
79,2022-10-19 21:08:41.563332,[-4.38489237],[0.06924567],[176.13682221]
81,2022-10-19 21:08:41.695243,[-4.58705698],[1.4591207],[176.89371883]
83,2022-10-19 21:08:41.820242,[-6.27742803],[0.62322133],[178.34041164]
85,2022-10-19 21:08:41.947243,[-3.81273054],[3.79425649],[177.69959034]
87,2022-10-19 21:08:42.073008,[-4.08855917],[4.18774785],[177.85648134]
89,2022-10-19 21:08:42.199007,[25.25770575],[-3.67262018],[-4.00335553]
91,2022-10-19 21:08:42.329008,[-4.68680591],[5.05148133],[178.7703319]
93,2022-10-19 21:08:42.456006,[-4.27643346],[3.48884868],[179.15984271]
95,2022-10-19 21:08:42.578673,[23.75929017],[-3.1064489],[-3.41157916]
97,2022-10-19 21:08:42.706671,[-4.05731981],[3.21644131],[178.23373271]
99,2022-10-19 21:08:42.834195,[-3.14469297],[5.21042556],[178.22616921]
101,2022-10-19 21:08:42.963903,[-6.78629292],[1.81002198],[178.2562864]
103,2022-10-19 21:08:43.088917,[-4.66723478],[5.16917324],[178.76250287]
105,2022-10-19 21:08:43.216918,[-5.00396841],[3.66276301],[178.25754146]
107,2022-10-19 21:08:43.345917,[22.85991567],[5.64323254],[-4.17099064]
109,2022-10-19 21:08:43.473919,[-2.54604872],[2.67012839],[176.92344264]
111,2022-10-19 21:08:43.599920,[-3.31098314],[3.52043933],[179.11204673]
113,2022-10-19 21:08:43.725918,[-2.99151559],[3.8826413],[179.43278272]
115,2022-10-19 21:08:43.851920,[-2.47666171],[2.50902466],[-179.74272344]
117,2022-10-19 21:08:43.980920,[-3.75023585],[-0.55560518],[-178.54340886]
119,2022-10-19 21:08:44.105919,[-5.32723566],[5.18209286],[-179.34521666]
121,2022-10-19 21:08:44.241442,[11.56225912],[6.82728528],[0.41232379]
123,2022-10-19 21:08:44.374442,[-4.09918639],[3.67263376],[179.73605543]
125,2022-10-19 21:08:44.502441,[-6.05435227],[2.54602519],[179.48079701]
127,2022-10-19 21:08:44.628456,[-6.27098229],[0.84422459],[179.83902643]
129,2022-10-19 21:08:44.759455,[-5.45764864],[2.09357756],[-179.71695115]
131,2022-10-19 21:08:44.886454,[-5.38054129],[2.34071346],[-177.54390442]
133,2022-10-19 21:08:45.016455,[-4.66204803],[1.43679959],[-178.21571597]
137,2022-10-19 21:08:45.406465,[-4.69120617],[4.26635185],[-177.98068531]
139,2022-10-19 21:08:45.536467,[-5.47829738],[3.11109388],[-176.89820255]
141,2022-10-19 21:08:45.665468,[-4.96724769],[4.10441883],[-177.41216852]
143,2022-10-19 21:08:45.788470,[-5.60148146],[4.16937745],[-178.25980017]
145,2022-10-19 21:08:45.919480,[-6.03439004],[5.32165184],[-178.20543418]
147,2022-10-19 21:08:46.050494,[-5.43052169],[2.14293242],[-176.01975336]
149,2022-10-19 21:08:46.292495,[-7.15009432],[3.39731769],[-175.40835826]
151,2022-10-19 21:08:46.418066,[-7.07131298],[3.46125308],[-175.84405963]
153,2022-10-19 21:08:46.549067,[-6.10323823],[3.65685181],[-175.45404918]
155,2022-10-19 21:08:46.679624,[-6.28813687],[3.43008097],[-175.97224776]
157,2022-10-19 21:08:46.812624,[-6.26398411],[2.23385112],[-175.29234878]
159,2022-10-19 21:08:46.949623,[-6.79437151],[2.41325867],[-175.88069278]
161,2022-10-19 21:08:47.198573,[-5.91920056],[1.02759832],[-177.66471671]
163,2022-10-19 21:08:47.329095,[-2.83672984],[4.00632482],[-177.05035618]
165,2022-10-19 21:08:47.456111,[-3.56559458],[5.43083239],[-177.16585812]
167,2022-10-19 21:08:47.588112,[26.1086717],[7.26158066],[0.70692746]
169,2022-10-19 21:08:47.722109,[19.41079609],[1.37364575],[1.29211479]
171,2022-10-19 21:08:47.847111,[18.41889818],[1.56588744],[-0.42564885]
174,2022-10-19 21:08:48.103112,[21.40050303],[-2.64317187],[0.13746186]
176,2022-10-19 21:08:48.234112,[17.16537175],[-9.58906533],[-3.97410348]
178,2022-10-19 21:08:48.367110,[28.07639981],[-8.88929286],[-2.75919632]
180,2022-10-19 21:08:48.497112,[26.7767954],[-12.10045823],[-1.64581465]
182,2022-10-19 21:08:48.628146,[25.36374062],[-12.25784029],[-3.06778041]
183,2022-10-19 21:08:48.743147,[23.88897646],[-13.56839181],[-3.30849771]
185,2022-10-19 21:08:49.203198,[17.41651179],[-10.3895191],[-5.17227352]
187,2022-10-19 21:08:49.331684,[16.64759721],[-6.47566274],[-5.96730506]
189,2022-10-19 21:08:49.466686,[14.20999515],[-8.33279739],[-4.35588263]
191,2022-10-19 21:08:49.595684,[12.05989829],[-8.89491341],[-1.7123511]
193,2022-10-19 21:08:49.727696,[15.28700128],[-7.39065456],[-2.87736453]
195,2022-10-19 21:08:49.862729,[7.67318929],[-0.50428644],[-8.48261026]
197,2022-10-19 21:08:49.993732,[12.52483544],[-0.45478944],[-5.14377324]
199,2022-10-19 21:08:50.122731,[11.71349772],[-8.69137318],[-6.32403994]
201,2022-10-19 21:08:50.258731,[3.64914549],[7.03218038],[-7.31960686]
203,2022-10-19 21:08:50.390343,[11.02545853],[6.15225874],[-8.8271913]
205,2022-10-19 21:08:50.522864,[9.86465053],[10.46519099],[-4.47117726]
207,2022-10-19 21:08:50.656875,[7.34949041],[-3.32510082],[-5.37349766]
209,2022-10-19 21:08:52.585023,[2.79062564],[-19.70075575],[-0.65016761]
210,2022-10-19 21:08:53.722900,[16.52222158],[-11.28535232],[-6.11314172]
212,2022-10-19 21:08:53.857899,[16.49251669],[-8.91476501],[-5.29447328]
214,2022-10-19 21:08:53.990898,[13.90257461],[-10.79800701],[-7.97832781]
216,2022-10-19 21:08:54.126899,[11.4097116],[-12.1955672],[-8.50746206]
218,2022-10-19 21:08:54.267415,[10.53326607],[-13.4394061],[-8.84853058]
221,2022-10-19 21:08:55.357414,[9.25709557],[-11.21641102],[-7.73841495]
222,2022-10-19 21:08:55.482416,[14.64043268],[-10.93272288],[-6.11911145]
223,2022-10-19 21:08:55.600415,[14.44447795],[-12.01738757],[-4.00725167]
224,2022-10-19 21:08:55.829987,[14.90624283],[-9.36452136],[-8.46522668]
225,2022-10-19 21:08:55.948108,[20.80971624],[-4.77121326],[-5.19957444]
226,2022-10-19 21:08:56.064107,[20.32204345],[-5.62052857],[-3.91410852]
228,2022-10-19 21:08:56.200105,[19.24523475],[-5.00508695],[-4.85121676]
229,2022-10-19 21:08:56.320109,[18.37423833],[-4.28725137],[-3.36535766]
230,2022-10-19 21:08:56.441112,[17.00695052],[-5.55399862],[-4.6888175]
232,2022-10-19 21:08:56.573328,[19.61896299],[-5.72035931],[-4.77534596]
233,2022-10-19 21:08:56.700329,[17.31460883],[-6.71618745],[-8.8103474]
236,2022-10-19 21:08:57.940896,[3.89003286],[-11.44516486],[1.41345668]
237,2022-10-19 21:09:01.013891,[6.68667183],[-10.12787835],[0.13831056]
238,2022-10-19 21:09:02.719965,[22.88383487],[-10.03593994],[-4.0035902]
239,2022-10-19 21:09:02.843566,[14.44099341],[-5.0510654],[-1.05273519]
241,2022-10-19 21:09:02.983556,[13.00170033],[-2.4439359],[-2.91718906]
243,2022-10-19 21:09:03.125557,[17.53600543],[0.43766336],[-0.0842808]
245,2022-10-19 21:09:03.268557,[19.69112787],[4.06938773],[-1.14835677]
247,2022-10-19 21:09:03.405294,[5.09261639],[1.34136281],[-2.21286425]
249,2022-10-19 21:09:03.539256,[9.50745561],[-6.910492],[1.91503177]
251,2022-10-19 21:09:03.675259,[11.02930788],[-1.35330694],[-1.24400873]
263,2022-10-19 21:09:08.726385,[13.45465666],[-2.31219665],[-7.80019544]
265,2022-10-19 21:09:08.863386,[14.49507168],[-3.58931958],[-7.30406671]
267,2022-10-19 21:09:08.998904,[13.61677737],[-2.82884739],[-5.59722305]
269,2022-10-19 21:09:09.137904,[15.43021456],[-2.32456311],[-5.38929819]
271,2022-10-19 21:09:09.273906,[-4.03234347],[-9.56281087],[174.44453236]
273,2022-10-19 21:09:09.414906,[-4.06473197],[-10.68673117],[173.14957188]
275,2022-10-19 21:09:09.557459,[-4.66501196],[-8.67832993],[173.83458497]
277,2022-10-19 21:09:09.698268,[-4.48978114],[-8.36750764],[173.812087]
279,2022-10-19 21:09:09.836268,[-5.67074801],[-11.26903144],[174.77044067]
281,2022-10-19 21:09:09.985508,[-5.46879167],[-8.39234033],[175.6489866]
283,2022-10-19 21:09:10.122268,[-6.4744786],[-7.53115527],[176.27713508]
284,2022-10-19 21:09:10.252268,[10.89304852],[2.16709736],[-3.42929636]
286,2022-10-19 21:09:11.098284,[-5.19724848],[-3.25137329],[174.25450766]
288,2022-10-19 21:09:11.239281,[-5.32053536],[-1.4051348],[173.55817822]
290,2022-10-19 21:09:11.378283,[-5.72692767],[-0.2535236],[172.51965997]
293,2022-10-19 21:09:11.653274,[-4.88746768],[3.19898307],[170.76433684]
295,2022-10-19 21:09:11.789277,[-5.41168327],[0.7695231],[175.24831255]
297,2022-10-19 21:09:11.929273,[-6.17236572],[-2.2261604],[176.7296687]
299,2022-10-19 21:09:12.070287,[-5.89281746],[-3.91905546],[176.42811003]
301,2022-10-19 21:09:12.213286,[-6.70836595],[-2.42491849],[176.06239566]
303,2022-10-19 21:09:12.351288,[-6.37030032],[-4.37219264],[175.85802793]
305,2022-10-19 21:09:12.496288,[-5.51727819],[-3.48328543],[176.11804047]
307,2022-10-19 21:09:12.641286,[-6.00869184],[-6.2605954],[174.65247568]
309,2022-10-19 21:09:12.780288,[-4.99923776],[-5.07901537],[174.21987151]
311,2022-10-19 21:09:12.923288,[-5.63044427],[-3.682027],[175.74959543]
313,2022-10-19 21:09:13.075289,[-6.26354471],[-6.45032488],[176.72910876]
315,2022-10-19 21:09:13.213286,[-6.38656968],[-4.80627905],[175.92396916]
317,2022-10-19 21:09:13.353286,[-6.04778599],[-4.50641197],[175.81953466]
319,2022-10-19 21:09:13.496289,[-6.00551712],[-4.12472945],[175.25874211]
321,2022-10-19 21:09:13.638287,[-5.16859606],[-1.46392399],[175.55533891]
323,2022-10-19 21:09:13.781286,[-5.44221707],[-6.57195196],[175.26824575]
325,2022-10-19 21:09:13.925288,[-6.06507469],[-7.45379664],[174.776712]
327,2022-10-19 21:09:14.072287,[-4.97011467],[-7.16966845],[175.02702822]
329,2022-10-19 21:09:14.218288,[-5.11884043],[-7.54332891],[174.750373]
331,2022-10-19 21:09:14.357286,[-4.63375989],[-5.96121267],[174.58324355]
333,2022-10-19 21:09:14.498287,[-5.85318849],[-8.55949088],[173.88820182]
335,2022-10-19 21:09:14.643286,[-5.48123333],[-9.11974124],[173.71975701]
337,2022-10-19 21:09:14.786287,[-4.49921651],[-8.44626019],[173.60934255]
339,2022-10-19 21:09:14.932287,[-7.17388097],[-7.33834243],[173.94813042]
341,2022-10-19 21:09:15.081108,[-5.76492439],[-8.74857015],[173.89908897]
343,2022-10-19 21:09:15.231108,[-5.35053208],[-9.0969912],[173.81988969]
345,2022-10-19 21:09:15.377385,[-5.74446869],[-8.76465033],[173.54889113]
347,2022-10-19 21:09:15.523394,[-5.68915438],[-8.46416222],[173.74477532]
349,2022-10-19 21:09:15.666972,[-6.42833135],[-9.04570768],[174.04616273]
351,2022-10-19 21:09:15.814970,[-6.31212632],[-7.78773266],[173.76881503]
353,2022-10-19 21:09:15.960970,[-6.68445235],[-8.09393048],[174.60767614]
355,2022-10-19 21:09:16.107970,[-5.68369855],[-9.39446306],[174.1558137]
357,2022-10-19 21:09:16.246969,[-5.78684647],[-9.21398461],[173.66743175]
359,2022-10-19 21:09:16.390972,[-5.70731469],[-7.90820676],[174.00441433]
361,2022-10-19 21:09:16.539969,[-6.12174826],[-8.08046008],[174.10611869]
363,2022-10-19 21:09:16.679969,[-6.35078521],[-8.59925812],[173.96352517]
365,2022-10-19 21:09:16.824076,[-5.87936326],[-8.59605599],[174.38262771]
367,2022-10-19 21:09:16.969101,[-5.6332297],[-8.83604528],[173.91760925]
369,2022-10-19 21:09:17.115103,[-7.28140723],[-8.70892539],[175.33879895]
371,2022-10-19 21:09:17.266104,[-8.49695366],[-8.6425472],[176.17085574]
373,2022-10-19 21:09:17.415473,[-7.95170366],[-8.73034757],[175.16957616]
375,2022-10-19 21:09:17.571735,[-7.06837094],[-8.38783968],[174.76490663]
377,2022-10-19 21:09:17.717748,[-6.03359179],[-8.4896702],[174.07548154]
379,2022-10-19 21:09:17.867749,[-5.51902315],[-8.64958972],[174.05209266]
381,2022-10-19 21:09:18.018788,[-6.86999388],[-7.34589585],[174.79299043]
383,2022-10-19 21:09:18.166848,[-5.41554541],[-6.39524165],[174.49183503]
385,2022-10-19 21:09:18.311847,[-5.96145277],[-6.61435612],[173.65396441]
387,2022-10-19 21:09:18.462875,[-5.42311711],[-4.26359173],[175.17456871]
389,2022-10-19 21:09:18.614957,[-6.28606834],[-4.83674874],[174.61606779]
391,2022-10-19 21:09:18.763971,[-6.49482962],[-6.5404458],[175.30506033]
393,2022-10-19 21:09:18.910968,[-6.34327599],[-7.13666561],[175.6226381]
395,2022-10-19 21:09:19.067967,[-4.10757471],[-0.93648236],[179.43578462]
397,2022-10-19 21:09:19.219266,[-4.43862439],[-5.8284986],[172.49466651]
399,2022-10-19 21:09:19.365266,[-4.72737483],[-4.05142613],[175.54835535]
401,2022-10-19 21:09:19.516268,[-4.01021335],[-5.00326833],[175.80384794]
403,2022-10-19 21:09:19.663267,[-3.66761149],[-4.76263656],[176.29452642]
405,2022-10-19 21:09:19.814789,[-2.06587247],[-4.35196518],[173.51981476]
407,2022-10-19 21:09:19.963788,[-3.09964314],[-3.80344227],[173.77929695]
409,2022-10-19 21:09:20.109307,[-3.23393331],[-3.74776701],[174.58367446]
411,2022-10-19 21:09:20.264565,[-3.4191958],[-3.67897407],[175.42041044]
413,2022-10-19 21:09:20.415832,[-4.2256702],[-3.1264462],[175.47145416]
415,2022-10-19 21:09:20.573831,[-3.5032271],[-2.86697652],[175.31480541]
417,2022-10-19 21:09:20.729241,[-4.58332633],[-2.59717793],[173.76900634]
419,2022-10-19 21:09:20.879241,[-7.62955239],[-0.21339547],[173.40035392]
420,2022-10-19 21:09:21.145240,[0.30756195],[0.78677956],[174.64512109]
422,2022-10-19 21:09:21.290240,[-1.81537794],[0.45653131],[174.46920152]
424,2022-10-19 21:09:21.440250,[-4.52373205],[-2.55688065],[171.58388967]
426,2022-10-19 21:09:21.596249,[-5.17369664],[-3.97861471],[172.93749728]
428,2022-10-19 21:09:21.740251,[-4.30670577],[-5.83030605],[172.96059776]
430,2022-10-19 21:09:21.894838,[-4.87137441],[-5.61959076],[173.03221511]
432,2022-10-19 21:09:22.045834,[-4.52415577],[-4.75212019],[172.89916507]
434,2022-10-19 21:09:22.197835,[-4.84486994],[-5.82420701],[173.92628626]
436,2022-10-19 21:09:22.336834,[-4.66556781],[-5.50312534],[173.81786267]
438,2022-10-19 21:09:22.482851,[-5.22642828],[-6.37821605],[174.08986556]
440,2022-10-19 21:09:22.637847,[-5.36826901],[-6.22142483],[174.11809948]
442,2022-10-19 21:09:22.788368,[-4.02429186],[-6.72748314],[173.1939664]
444,2022-10-19 21:09:22.939367,[-5.43295826],[-5.8319104],[173.57903187]
446,2022-10-19 21:09:23.094263,[-5.56170561],[-6.41288222],[173.59449545]
448,2022-10-19 21:09:23.246259,[-4.64472944],[-6.29529163],[173.01391568]
450,2022-10-19 21:09:23.400260,[-5.00200191],[-6.83440895],[173.23394909]
452,2022-10-19 21:09:23.551260,[-4.87159468],[-6.245539],[173.06517862]
454,2022-10-19 21:09:23.704995,[-5.03508067],[-6.88802876],[173.081426]
456,2022-10-19 21:09:23.856864,[-5.58195942],[-7.02796661],[172.66939593]
458,2022-10-19 21:09:24.013866,[-3.35738371],[-3.4807183],[173.20285865]
460,2022-10-19 21:09:24.169386,[13.28538203],[2.91162505],[-4.26556838]
462,2022-10-19 21:09:24.322951,[18.63441288],[-7.07169753],[-1.47276271]
463,2022-10-19 21:09:34.560256,[21.79374538],[-14.20420244],[-6.76244173]
